Iteration,Heuristic Value,Restarted,Inner Iteration,Time
463,40,12,35,2857.0000
464,41,12,36,2863.0000
465,41,12,37,2869.0000
466,41,12,38,2873.0000
467,41,12,39,2881.0000
468,41,12,40,2883.0000
469,3,13,1,2895.0000
470,5,13,2,2899.0000
471,7,13,3,2903.0000
472,9,13,4,2914.0000
473,11,13,5,2914.0000
474,12,13,6,2928.0000
475,14,13,7,2933.0000
476,15,13,8,2933.0000
477,16,13,9,2946.0000
478,17,13,10,2952.0000
479,18,13,11,2953.0000
480,19,13,12,2963.0000
481,21,13,13,2970.0000
482,22,13,14,2973.0000
483,23,13,15,2981.0000
484,24,13,16,2983.0000
485,25,13,17,2993.0000
486,26,13,18,2995.0000
487,27,13,19,3005.0000
488,28,13,20,3011.0000
489,29,13,21,3015.0000
490,30,13,22,3023.0000
491,31,13,23,3031.0000
492,32,13,24,3033.0000
493,33,13,25,3043.0000
494,34,13,26,3049.0000
495,35,13,27,3053.0000
496,36,13,28,3062.0000
497,37,13,29,3068.0000
498,38,13,30,3075.0000
499,39,13,31,3079.0000
500,40,13,32,3087.0000
501,41,13,33,3093.0000
502,42,13,34,3093.0000
503,42,13,35,3107.0000
504,3,14,1,3113.0000
505,5,14,2,3121.0000
506,7,14,3,3123.0000
507,9,14,4,3133.0000
508,11,14,5,3134.0000
509,12,14,6,3144.0000
510,13,14,7,3144.0000
511,14,14,8,3154.0000
512,15,14,9,3154.0000
513,16,14,10,3165.0000
514,17,14,11,3170.0000
515,18,14,12,3173.0000
516,19,14,13,3182.0000
517,20,14,14,3183.0000
518,21,14,15,3193.0000
519,22,14,16,3194.0000
520,23,14,17,3205.0000
521,24,14,18,3205.0000
522,26,14,19,3215.0000
523,27,14,20,3215.0000
524,28,14,21,3227.0000
525,29,14,22,3227.0000
526,30,14,23,3239.0000
527,31,14,24,3243.0000
528,32,14,25,3251.0000
529,33,14,26,3253.0000
530,34,14,27,3263.0000
531,35,14,28,3270.0000
532,36,14,29,3275.0000
533,37,14,30,3276.0000
534,38,14,31,3287.0000
535,39,14,32,3294.0000
536,40,14,33,3299.0000
537,40,14,34,3306.0000
538,2,15,1,3312.0000
539,3,15,2,3318.0000
540,4,15,3,3326.0000
541,6,15,4,3333.0000
542,7,15,5,3339.0000
543,8,15,6,3343.0000
544,10,15,7,3351.0000
545,11,15,8,3357.0000
546,12,15,9,3363.0000
547,13,15,10,3367.0000
548,14,15,11,3373.0000
549,16,15,12,3377.0000
550,17,15,13,3386.0000
551,19,15,14,3387.0000
552,20,15,15,3397.0000
553,21,15,16,3397.0000
554,23,15,17,3409.0000
555,24,15,18,3415.0000
556,25,15,19,3415.0000
557,26,15,20,3427.0000
558,27,15,21,3433.0000
559,28,15,22,3433.0000
560,29,15,23,3444.0000
561,30,15,24,3450.0000
562,31,15,25,3453.0000
563,32,15,26,3462.0000
564,33,15,27,3464.0000
565,34,15,28,3474.0000
566,35,15,29,3476.0000
567,36,15,30,3486.0000
568,37,15,31,3493.0000
569,38,15,32,3498.0000
570,39,15,33,3505.0000
571,39,15,34,3506.0000
572,3,16,1,3518.0000
573,5,16,2,3524.0000
574,7,16,3,3530.0000
575,9,16,4,3536.0000
576,10,16,5,3543.0000
577,11,16,6,3549.0000
578,12,16,7,3555.0000
579,14,16,8,3561.0000
580,15,16,9,3567.0000
581,16,16,10,3573.0000
582,17,16,11,3578.0000
583,18,16,12,3584.0000
584,19,16,13,3589.0000
585,20,16,14,3593.0000
586,21,16,15,3600.0000
587,22,16,16,3603.0000
588,23,16,17,3611.0000
589,24,16,18,3616.0000
590,25,16,19,3623.0000
591,26,16,20,3628.0000
592,27,16,21,3634.0000
593,28,16,22,3640.0000
594,29,16,23,3646.0000
595,30,16,24,3649.0000
596,31,16,25,3657.0000
597,32,16,26,3663.0000
598,34,16,27,3669.0000
599,35,16,28,3674.0000
600,36,16,29,3681.0000
601,37,16,30,3683.0000
602,38,16,31,3693.0000
603,39,16,32,3695.0000
604,39,16,33,3705.0000
605,3,17,1,3712.0000
606,5,17,2,3718.0000
607,7,17,3,3725.0000
608,8,17,4,3730.0000
609,9,17,5,3735.0000
610,10,17,6,3738.0000
611,12,17,7,3746.0000
612,13,17,8,3750.0000
613,14,17,9,3757.0000
614,15,17,10,3761.0000
615,16,17,11,3768.0000
616,17,17,12,3773.0000
617,18,17,13,3780.0000
618,19,17,14,3786.0000
619,20,17,15,3791.0000
620,21,17,16,3797.0000
621,23,17,17,3803.0000
622,24,17,18,3809.0000
623,25,17,19,3815.0000
624,26,17,20,3821.0000
625,27,17,21,3827.0000
626,28,17,22,3834.0000
627,29,17,23,3839.0000
628,30,17,24,3846.0000
629,31,17,25,3851.0000
630,32,17,26,3857.0000
631,33,17,27,3863.0000
632,34,17,28,3864.0000
633,35,17,29,3875.0000
634,37,17,30,3877.0000
635,38,17,31,3887.0000
636,39,17,32,3893.0000
637,40,17,33,3900.0000
638,41,17,34,3903.0000
639,42,17,35,3912.0000
640,43,17,36,3919.0000
